duration_in_seconds	recorded_date	participant_id	working_home_time	now_before_eff	now_later_eff	home_office_aspect_1	home_office_aspect_2	home_office_aspect_3	home_office_aspect_4	home_office_aspect_5	home_office_aspect_6	home_office_aspect_7	home_office_aspect_8	home_office_aspect_9	home_office_aspect_10	home_office_aspect_11	home_office_aspect_12	home_office_aspect_13	home_office_aspect_14	home_office_aspect_15	prior_home_prop_1	future_home_prop_1	feasible	position	area_of_research	wokrplace_type	data_coll_remote	gender	age	edu_duties	team_work	office_setup	living_sit	partner_work	work_home_dist	children_2	children_23	children_24	children_25	children_26	children_27	homeschool	childcare_help	need_from_org_1	need_from_org_4	need_from_org_7	need_from_org_9	need_from_org_10	need_from_org_11	number_of_children	future_prior_diff
756	2020-04-24 11:18:50	R_3lVTUj3PcFYYB2N	Yes	less efficient	similarly efficient	6	4	6	5	7	7	4	5	3	7	6	5	5	7	4	10	15	No	postdoc	Social Sciences	Research and educational institute	No	Male	25 - 34	No	Yes	Fully equipped	Living only with partner	Yes	30-60 min	NA	NA	NA	NA	NA	NA	No	NA	Better communication	NA	NA	More tips on working from home	NA	NA	0	5
91	2020-04-27 10:25:39	R_DhOyzlT2UpiNjI5	Yes	more efficient	more efficient	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	25	33	Yes	associate professor	Earth & Space Sciences	Purely research institute	Yes (including if someone else does it for me)	Female	Under 24	No	No	Underequipped	Living only with partner	No	>60 min	2	NA	3	2	NA	NA	Yes	NA	NA	Better computer facilities	NA	NA	NA	NA	7	8
225	2020-04-27 15:09:56	R_2B50oEXnt2muga6	Yes	similarly efficient	more efficient	2	3	6	5	5	5	1	3	2	4	5	1	1	4	4	100	50	Yes	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	0	0	1	1	0	Yes	No	NA	Better computer facilities	NA	NA	NA	Other	2	-50
224	2020-04-27 15:11:13	R_3im3iB9Qjq1LEer	No	NA	similarly efficient	7	7	7	4	4	4	7	7	7	7	7	4	4	4	4	0	0	No	assistant professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Prefer not to say	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	1	1	1	0	0	Yes	No	NA	NA	NA	NA	NA	Other	3	0
341	2020-04-27 15:11:35	R_1ozJOf3Rxswd8DE	Yes	less efficient	less efficient	5	5	5	4	4	4	7	7	6	7	6	7	7	4	5	15	15	No	assistant professor	Life Sciences	Research and educational institute	No	Female	35 - 44	Yes	Yes	Underequipped	Living alone	NA	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	0	0
382	2020-04-27 15:12:24	R_1BPXBTCWIzuPGeX	Yes	less efficient	similarly efficient	1	1	4	6	5	6	3	3	4	4	6	4	3	4	4	10	50	Yes	assistant professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	No	Underequipped	Living alone	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	NA	NA	NA	Administrative flexibility during lockdowns	NA	0	40
442	2020-04-27 15:13:29	R_vSMDboTnNQijCxj	Yes	similarly efficient	similarly efficient	5	5	7	5	5	7	7	7	7	4	4	7	7	6	7	19	19	No	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	Yes	<30 min	0	1	0	0	0	0	Yes	Yes	NA	Better computer facilities	Support for problems regarding combining work with family life	NA	NA	NA	1	0
237	2020-04-27 15:13:36	R_1n8b8QaHE2YFKVH	Yes	less efficient	less efficient	7	7	7	6	4	4	7	7	7	7	6	6	6	6	2	10	10	Yes	full professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	55 - 64	Yes	Yes	Underequipped	Other	No	30-60 min	0	0	0	0	0	0	No	No	NA	NA	NA	NA	NA	Other	0	0
474	2020-04-27 15:14:00	R_3EW2tMo9YLXLbrR	Yes	less efficient	less efficient	4	4	4	6	7	6	5	4	4	6	7	4	4	7	4	41	41	No	associate professor	Social Sciences	Research and educational institute	Yes (including if someone else does it for me)	Male	45 - 54	Yes	No	Underequipped	Living alone	NA	<30 min	0	0	0	0	0	0	No	NA	NA	NA	NA	NA	NA	NA	0	0
231	2020-04-27 15:14:08	R_73xRitIs3C5sbAt	Yes	more efficient	more efficient	3	2	1	6	6	7	2	2	1	4	6	7	5	5	3	30	50	No	assistant professor	Social Sciences	Research and educational institute	No	Male	35 - 44	Yes	No	Underequipped	Living alone	NA	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	0	20
