StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	working_home_time	now_before_eff	now_later_eff	home_office_aspect_1	home_office_aspect_2	home_office_aspect_3	home_office_aspect_4	home_office_aspect_5	home_office_aspect_6	home_office_aspect_7	home_office_aspect_8	home_office_aspect_9	home_office_aspect_10	home_office_aspect_11	home_office_aspect_12	home_office_aspect_13	home_office_aspect_14	home_office_aspect_15	prior_home_prop_1	future_home_prop_1	feasible	position	area_of_research	area_of_research_6_TEXT	wokrplace_type	data_coll_remote	gender	age	edu_duties	team_work	office_setup	living_sit	living_sit_7_TEXT	partner_work	work_home_dist	children_2	children_23	children_24	children_25	children_26	children_27	homeschool	childcare_help	need_from_org_1	need_from_org_4	need_from_org_7	need_from_org_9	need_from_org_10	need_from_org_11	need_from_org_11_TEXT
Start Date	End Date	Response Type	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Distribution Channel	User Language	Currently, I’m working more from home than before the pandemic lockdown.	Try to compare the efficiency of your research work during the coronavirus lockdown to your efficiency before the lockdown.My research work due to working more from home, in general, is  ______________  compared to my work before the lockdown.	My present and earlier experiences tell me that after the lockdown, working more from home would make my research work, in general,  ______________  compared to my work before the lockdown.	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Optimally organizing my time	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Optimally organizing my tasks	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Keeping focused on my tasks	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Keeping in touch with my team	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Sharing thoughts with colleagues	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Getting support from colleagues	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Working on my manuscript	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Analyzing my data	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Reading the literature	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Collecting data	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Having the infrastructure that my research work needs (IT, books, instruments)	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Maintaining emotional balance	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Maintaining work-life balance	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Keeping good relationship with colleagues	How do you compare working from home to working in the office? Where can you better achieve the following aims?  Put your answer as close to a location as it is more achievable there. - Developing new skills	Prior to the present pandemic emergency, what percentage of your work time did you spend working from home? - Percentage of worktime	In the future, how much working from home would be ideal for you concerning both research efficiency and work-life balance? What percentage of your work time would you wish to work from home? - Percentage of worktime	Do you think that it would be feasible to work more from home in the future, considering all your other duties (education, administration, etc.) and given the circumstances at home (infrastructure, level of disturbance)?	Your position	What's your area of research? - Selected Choice	What's your area of research? - Other: - Text	Type of workplace	Typically, is it possible for you to collect your data remotely?	Gender	Age group	Do you have educational duties at work?	Does your research require intensive team-work?	Office setup at home	Living situation - Selected Choice	Living situation - Other: - Text	Was your partner also working from home during the pandemic?	How far is your office from home?	Please indicate how many children do you live with from the age groups below? The age groups are presented in years. - <1	Please indicate how many children do you live with from the age groups below? The age groups are presented in years. - 1 - 3	Please indicate how many children do you live with from the age groups below? The age groups are presented in years. - 4 - 6	Please indicate how many children do you live with from the age groups below? The age groups are presented in years. - 7 - 12	Please indicate how many children do you live with from the age groups below? The age groups are presented in years. - 13 - 18	Please indicate how many children do you live with from the age groups below? The age groups are presented in years. - 18<	Did you have to do home-schooling during the present pandemic?	Was there someone else looking after your child(ren) during your work from home during the lockdown?	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Selected Choice - Better communication	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Selected Choice - Better computer facilities	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Selected Choice - Support for problems regarding combining work with family life	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Selected Choice - More tips on working from home	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Selected Choice - Administrative flexibility during lockdowns	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Selected Choice - Other:	What would you need from your organization in order to working from home in an efficient way?(Choose all the options you find important.) - Other: - Text
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""status""}"	"{""ImportId"":""progress""}"	"{""ImportId"":""duration""}"	"{""ImportId"":""finished""}"	"{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""_recordId""}"	"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID1""}"	"{""ImportId"":""QID2""}"	"{""ImportId"":""QID4""}"	"{""ImportId"":""QID5_1""}"	"{""ImportId"":""QID5_2""}"	"{""ImportId"":""QID5_3""}"	"{""ImportId"":""QID5_4""}"	"{""ImportId"":""QID5_5""}"	"{""ImportId"":""QID5_6""}"	"{""ImportId"":""QID5_7""}"	"{""ImportId"":""QID5_8""}"	"{""ImportId"":""QID5_9""}"	"{""ImportId"":""QID5_10""}"	"{""ImportId"":""QID5_11""}"	"{""ImportId"":""QID5_12""}"	"{""ImportId"":""QID5_13""}"	"{""ImportId"":""QID5_14""}"	"{""ImportId"":""QID5_15""}"	"{""ImportId"":""QID6_1""}"	"{""ImportId"":""QID7_1""}"	"{""ImportId"":""QID8""}"	"{""ImportId"":""QID9""}"	"{""ImportId"":""QID10""}"	"{""ImportId"":""QID10_6_TEXT""}"	"{""ImportId"":""QID11""}"	"{""ImportId"":""QID12""}"	"{""ImportId"":""QID13""}"	"{""ImportId"":""QID14""}"	"{""ImportId"":""QID15""}"	"{""ImportId"":""QID16""}"	"{""ImportId"":""QID17""}"	"{""ImportId"":""QID18""}"	"{""ImportId"":""QID18_7_TEXT""}"	"{""ImportId"":""QID19""}"	"{""ImportId"":""QID20""}"	"{""ImportId"":""QID21_2""}"	"{""ImportId"":""QID21_23""}"	"{""ImportId"":""QID21_24""}"	"{""ImportId"":""QID21_25""}"	"{""ImportId"":""QID21_26""}"	"{""ImportId"":""QID21_27""}"	"{""ImportId"":""QID22""}"	"{""ImportId"":""QID23""}"	"{""ImportId"":""QID27"",""choiceId"":""1""}"	"{""ImportId"":""QID27"",""choiceId"":""4""}"	"{""ImportId"":""QID27"",""choiceId"":""7""}"	"{""ImportId"":""QID27"",""choiceId"":""9""}"	"{""ImportId"":""QID27"",""choiceId"":""10""}"	"{""ImportId"":""QID27"",""choiceId"":""11""}"	"{""ImportId"":""QID27_11_TEXT""}"
2020-04-24 11:06:13	2020-04-24 11:18:49	IP Address	100	756	True	2020-04-24 11:18:50	R_3lVTUj3PcFYYB2N	anonymous	EN	Yes	less efficient	similarly efficient	6	4	6	5	"In the office
7
"	"In the office
7
"	4	5	3	"In the office
7
"	6	5	5	"In the office
7
"	4	10	15	No	postdoc	Social Sciences	NA	Research and educational institute	No	Male	25 - 34	No	Yes	Fully equipped	Living only with partner	NA	Yes	30-60 min	NA	NA	NA	NA	NA	NA	No	NA	Better communication	NA	NA	More tips on working from home	NA	NA	NA
2020-04-27 10:24:07	2020-04-27 10:25:39	IP Address	100	91	True	2020-04-27 10:25:39	R_DhOyzlT2UpiNjI5	anonymous	EN	Yes	more efficient	more efficient	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	25	33	Yes	associate professor	Earth & Space Sciences	NA	Purely research institute	Yes (including if someone else does it for me)	Female	Under 24	No	No	Underequipped	Living only with partner	NA	No	>60 min	2	NA	3	2	NA	NA	Yes	NA	NA	Better computer facilities	NA	NA	NA	NA	NA
2020-04-27 15:06:10	2020-04-27 15:09:56	IP Address	100	225	True	2020-04-27 15:09:56	R_2B50oEXnt2muga6	email	EN	Yes	similarly efficient	more efficient	2	3	6	5	5	5	"At home

1
"	3	2	4	5	"At home

1
"	"At home

1
"	4	4	100	50	Yes	associate professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	0	0	1	1	0	Yes	No	NA	Better computer facilities	NA	NA	NA	Other:	Better VPN
2020-04-27 15:07:28	2020-04-27 15:11:13	IP Address	100	224	True	2020-04-27 15:11:13	R_3im3iB9Qjq1LEer	email	EN	No	NA	similarly efficient	"In the office
7
"	"In the office
7
"	"In the office
7
"	4	4	4	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	4	4	4	4	0	0	No	assistant professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Prefer not to say	35 - 44	Yes	Yes	Fully equipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	1	1	1	0	0	Yes	No	NA	NA	NA	NA	NA	Other:	less work
2020-04-27 15:05:53	2020-04-27 15:11:35	IP Address	100	341	True	2020-04-27 15:11:35	R_1ozJOf3Rxswd8DE	email	EN	Yes	less efficient	less efficient	5	5	5	4	4	4	"In the office
7
"	"In the office
7
"	6	"In the office
7
"	6	"In the office
7
"	"In the office
7
"	4	5	15	15	No	assistant professor	Life Sciences	NA	Research and educational institute	No	Female	35 - 44	Yes	Yes	Underequipped	Living alone	NA	NA	<30 min	0	0	0	0	0	0	No	NA	Better communication	Better computer facilities	NA	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:06:01	2020-04-27 15:12:24	IP Address	100	382	True	2020-04-27 15:12:24	R_1BPXBTCWIzuPGeX	email	EN	Yes	less efficient	similarly efficient	"At home

1
"	"At home

1
"	4	6	5	6	3	3	4	4	6	4	3	4	4	10	50	Yes	assistant professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	35 - 44	Yes	No	Underequipped	Living alone	NA	Yes	<30 min	0	0	0	0	0	0	No	NA	Better communication	NA	NA	NA	Administrative flexibility during lockdowns	NA	NA
2020-04-27 15:06:06	2020-04-27 15:13:28	IP Address	100	442	True	2020-04-27 15:13:29	R_vSMDboTnNQijCxj	email	EN	Yes	similarly efficient	similarly efficient	5	5	"In the office
7
"	5	5	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	4	4	"In the office
7
"	"In the office
7
"	6	"In the office
7
"	19	19	No	associate professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Female	35 - 44	Yes	Yes	Underequipped	Living with partner and non-adult child(ren)	NA	Yes	<30 min	0	1	0	0	0	0	Yes	Yes	NA	Better computer facilities	Support for problems regarding combining work with family life	NA	NA	NA	NA
2020-04-27 15:09:39	2020-04-27 15:13:36	IP Address	100	237	True	2020-04-27 15:13:36	R_1n8b8QaHE2YFKVH	email	EN	Yes	less efficient	less efficient	"In the office
7
"	"In the office
7
"	"In the office
7
"	6	4	4	"In the office
7
"	"In the office
7
"	"In the office
7
"	"In the office
7
"	6	6	6	6	2	10	10	Yes	full professor	Social Sciences	NA	Research and educational institute	Yes (including if someone else does it for me)	Male	55 - 64	Yes	Yes	Underequipped	Other:	Living with partner and adult child	No	30-60 min	0	0	0	0	0	0	No	No	NA	NA	NA	NA	NA	Other:	Ability to conduct in lab experiments
